PV;Wind Binnenland;Wind Coast;Wind Offshore
0.042;0.765433;0.866293;0.769951
0.035;0.780053;0.8613;0.750474
0.014;0.781673;0.838029;0.828159
0;0.781083;0.790982;0.889699
0;0.774338;0.766263;0.944639
0;0.77447;0.805362;0.96813
0;0.770106;0.838307;0.975059
0;0.751957;0.850916;0.976803
0;0.708272;0.843644;0.974897
0;0.690394;0.831432;0.972335
0;0.668614;0.826702;0.969831
0;0.62529;0.81309;0.966698
0;0.567181;0.790049;0.962456
0;0.475548;0.773617;0.959133
0;0.427414;0.762845;0.952597
0;0.39575;0.748985;0.948153
0;0.355723;0.739097;0.950425
0;0.324547;0.72851;0.953557
0;0.313886;0.712877;0.957014
0;0.288372;0.699924;0.963653
0.014;0.278797;0.682848;0.967608
0.059;0.304926;0.669873;0.964933
0.233;0.37533;0.680376;0.960425
0.277;0.45206;0.685208;0.955776
0.251;0.533896;0.6583;0.950276
0.196;0.552304;0.62484;0.946675
0.066;0.536083;0.582558;0.936563
0.003;0.512344;0.553073;0.926658
0;0.483759;0.533008;0.920533
0;0.441484;0.494699;0.910557
0;0.400667;0.441172;0.888247
0;0.364957;0.36335;0.845546
0;0.323643;0.323938;0.811474
0;0.28426;0.278364;0.759537
0;0.244322;0.227466;0.693503
0;0.202442;0.181077;0.62625
0;0.181103;0.142233;0.541427
0;0.141155;0.114705;0.475552
0;0.116492;0.100947;0.436649
0;0.105639;0.088596;0.383259
0;0.083634;0.081304;0.309531
0;0.06232;0.075164;0.246089
0;0.051055;0.070784;0.17679
0;0.044259;0.065495;0.114159
0.01;0.037934;0.054015;0.061839
0.028;0.034544;0.041466;0.031311
0.045;0.041268;0.02913;0.032102
0.054;0.050805;0.026336;0.064493
0.05;0.053977;0.029878;0.124457
0.037;0.050982;0.037584;0.188919
0.018;0.054524;0.056517;0.229021
0;0.064092;0.075069;0.25347
0;0.066761;0.095679;0.270905
0;0.066633;0.125626;0.302193
0;0.060825;0.148365;0.357031
0;0.052702;0.152402;0.40406
0;0.051541;0.158205;0.387857
0;0.062961;0.17186;0.343521
0;0.078699;0.186696;0.336849
0;0.091776;0.198462;0.40059
0;0.110569;0.212559;0.481946
0;0.136596;0.22713;0.536083
0;0.165563;0.22904;0.602155
0;0.227071;0.261824;0.685405
0;0.222557;0.309565;0.746271
0;0.179437;0.336854;0.719115
0;0.136602;0.327258;0.706459
0;0.112294;0.313878;0.756254
0;0.108952;0.351236;0.80957
